"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 18 08:34:58 GMT 2022","Mon Apr 18 08:34:59 GMT 2022","27","test","spec","params.spec.ts","","","invoke mirror with url params","
### Test
```typescript
() =>
  __awaiter(void 0, void 0, void 0, function* () {
    var _j;

    (0, jest_custom_reporter_1.log)(""create FunctionsClient"");
    const fclient = new index_1.FunctionsClient(
      `http://localhost:${relay.container.getMappedPort(8081)}`
    );
    (0,
    jest_custom_reporter_1.attach)(""setAuth"", apiKey, allure_js_commons_1.ContentType.TEXT);
    fclient.setAuth(apiKey);
    (0, jest_custom_reporter_1.log)(""invoke mirror"");
    const body = {
      one: (0, nanoid_1.nanoid)(10),
      two: (0, nanoid_1.nanoid)(5),
      three: (0, nanoid_1.nanoid)(),
      num: ""11"",
      flag: ""false"",
    };
    const queryParams = new URLSearchParams(body);
    const { data, error } = yield fclient.invoke(
      `mirror?${queryParams.toString()}`,
      {
        responseType: ""json"",
      }
    );
    (0, jest_custom_reporter_1.log)(""assert no error"");

    expect(error).toBeNull();
    const expected = {
      url: `http://localhost:8000/mirror?${queryParams.toString()}`,
      method: ""POST"",
      headers:
        (_j = data === null || data === void 0 ? void 0 : data.headers) !==
          null && _j !== void 0
          ? _j
          : [],
      body: """",
    };
    (0,
    jest_custom_reporter_1.attach)(""check data from function"", `expected: ${JSON.stringify(expected)}\n actual: ${JSON.stringify(data)}`, allure_js_commons_1.ContentType.TEXT);
    expect(data).toEqual(expected);
  });

```
"
"passed","Mon Apr 18 08:35:02 GMT 2022","Mon Apr 18 08:35:02 GMT 2022","53","test","spec","hello.spec.ts","","","invoke hello: auth override by setAuth right key","
### Test
```typescript
() =>
  __awaiter(void 0, void 0, void 0, function* () {
    const wrongKey = (0, jsonwebtoken_1.sign)({ name: ""anon"" }, ""wrong_jwt"");
    (0, jest_custom_reporter_1.log)(""create FunctionsClient with wrong jwt"");
    const fclient = new index_1.FunctionsClient(
      `http://localhost:${relay.container.getMappedPort(8081)}`,
      {
        headers: {
          Authorization: `Bearer ${wrongKey}`,
        },
      }
    );
    (0,
    jest_custom_reporter_1.attach)(""setAuth with right jwt"", apiKey, allure_js_commons_1.ContentType.TEXT);
    fclient.setAuth(apiKey);
    (0, jest_custom_reporter_1.log)(""invoke hello"");
    const { data, error } = yield fclient.invoke(""hello"", {
      responseType: ""text"",
    });
    (0, jest_custom_reporter_1.log)(""assert no error"");

    expect(error).toBeNull();
    (0, jest_custom_reporter_1.log)(`assert ${data} is equal to 'Hello World'`);
    expect(data).toEqual(""Hello World"");
  });

```
"
"passed","Mon Apr 18 08:35:02 GMT 2022","Mon Apr 18 08:35:02 GMT 2022","93","test","spec","hello.spec.ts","","","invoke hello with setAuth","
### Test
```typescript
() =>
  __awaiter(void 0, void 0, void 0, function* () {
    (0, jest_custom_reporter_1.log)(""create FunctionsClient"");
    const fclient = new index_1.FunctionsClient(
      `http://localhost:${relay.container.getMappedPort(8081)}`
    );
    (0,
    jest_custom_reporter_1.attach)(""setAuth"", apiKey, allure_js_commons_1.ContentType.TEXT);
    fclient.setAuth(apiKey);
    (0, jest_custom_reporter_1.log)(""invoke hello"");
    const { data, error } = yield fclient.invoke(""hello"", {
      responseType: ""text"",
    });
    (0, jest_custom_reporter_1.log)(""assert no error"");

    expect(error).toBeNull();
    (0, jest_custom_reporter_1.log)(`assert ${data} is equal to 'Hello World'`);
    expect(data).toEqual(""Hello World"");
  });

```
"
"passed","Mon Apr 18 08:34:58 GMT 2022","Mon Apr 18 08:34:58 GMT 2022","229","test","spec","params.spec.ts","","","invoke mirror","
### Test
```typescript
() =>
  __awaiter(void 0, void 0, void 0, function* () {
    var _a;

    (0, jest_custom_reporter_1.log)(""create FunctionsClient"");
    const fclient = new index_1.FunctionsClient(
      `http://localhost:${relay.container.getMappedPort(8081)}`,
      {
        headers: {
          Authorization: `Bearer ${apiKey}`,
        },
      }
    );
    (0, jest_custom_reporter_1.log)(""invoke mirror"");
    const { data, error } = yield fclient.invoke(""mirror"", {
      responseType: ""json"",
    });
    (0, jest_custom_reporter_1.log)(""assert no error"");

    expect(error).toBeNull();
    const expected = {
      url: ""http://localhost:8000/mirror"",
      method: ""POST"",
      headers:
        (_a = data === null || data === void 0 ? void 0 : data.headers) !==
          null && _a !== void 0
          ? _a
          : [],
      body: """",
    };
    (0,
    jest_custom_reporter_1.attach)(""check data from function"", `expected: ${JSON.stringify(expected)}\n actual: ${JSON.stringify(data)}`, allure_js_commons_1.ContentType.TEXT);
    expect(data).toEqual(expected);
  });

```
"
"passed","Mon Apr 18 08:35:02 GMT 2022","Mon Apr 18 08:35:02 GMT 2022","71","test","spec","hello.spec.ts","","","invoke hello: auth override by setAuth wrong key","
### Test
```typescript
() =>
  __awaiter(void 0, void 0, void 0, function* () {
    (0, jest_custom_reporter_1.log)(""create FunctionsClient"");
    const fclient = new index_1.FunctionsClient(
      `http://localhost:${relay.container.getMappedPort(8081)}`,
      {
        headers: {
          Authorization: `Bearer ${apiKey}`,
        },
      }
    );
    const wrongKey = (0, jsonwebtoken_1.sign)({ name: ""anon"" }, ""wrong_jwt"");
    (0,
    jest_custom_reporter_1.attach)(""setAuth with wrong jwt"", wrongKey, allure_js_commons_1.ContentType.TEXT);
    fclient.setAuth(wrongKey);
    (0, jest_custom_reporter_1.log)(""invoke hello"");
    const { data, error } = yield fclient.invoke(""hello"", {
      responseType: ""text"",
    });
    (0, jest_custom_reporter_1.log)(""check error"");

    expect(error).not.toBeNull();
    expect(error === null || error === void 0 ? void 0 : error.message).toEqual(
      ""Invalid JWT""
    );
    expect(data).toBeNull();
  });

```
"
"passed","Mon Apr 18 08:35:02 GMT 2022","Mon Apr 18 08:35:02 GMT 2022","22","test","spec","hello.spec.ts","","","invoke with custom fetch wrong method","
### Test
```typescript
() =>
  __awaiter(void 0, void 0, void 0, function* () {
    (0, jest_custom_reporter_1.log)(""create FunctionsClient"");
    const fclient = new index_1.FunctionsClient(
      `http://localhost:${relay.container.getMappedPort(8081)}`,
      {
        customFetch: (0, fetch_1.getCustomFetch)(
          `http://localhost:${relay.container.getMappedPort(8081)}/${""hello""}`,
          {
            method: ""GET"",
            headers: {
              Authorization: `Bearer ${apiKey}`,
            },
          }
        ),
      }
    );
    (0, jest_custom_reporter_1.log)(""invoke hello"");
    const { data, error } = yield fclient.invoke("""", { responseType: ""text"" });
    (0, jest_custom_reporter_1.log)(""check error"");

    expect(error).not.toBeNull();
    (0,
    jest_custom_reporter_1.log)(`assert ${error === null || error === void 0 ? void 0 : error.message} is equal to 'Only POST and OPTIONS requests are supported'`);
    expect(error === null || error === void 0 ? void 0 : error.message).toEqual(
      ""Only POST and OPTIONS requests are supported""
    );
    expect(data).toBeNull();
  });

```
"
"passed","Mon Apr 18 08:35:02 GMT 2022","Mon Apr 18 08:35:02 GMT 2022","21","test","spec","hello.spec.ts","","","invoke hello with wrong auth header overridden in invoke","
### Test
```typescript
() =>
  __awaiter(void 0, void 0, void 0, function* () {
    (0, jest_custom_reporter_1.log)(""create FunctionsClient with wrong jwt"");
    const fclient = new index_1.FunctionsClient(
      `http://localhost:${relay.container.getMappedPort(8081)}`,
      {
        headers: {
          Authorization: `Bearer ${apiKey}`,
        },
      }
    );
    const wrongKey = (0, jsonwebtoken_1.sign)({ name: ""anon"" }, ""wrong_jwt"");
    (0,
    jest_custom_reporter_1.log)(""invoke hello with wrong Authorization header"");
    const { data, error } = yield fclient.invoke(""hello"", {
      responseType: ""text"",
      headers: {
        Authorization: `Bearer ${wrongKey}`,
      },
    });
    (0, jest_custom_reporter_1.log)(""check error"");

    expect(error).not.toBeNull();
    expect(error === null || error === void 0 ? void 0 : error.message).toEqual(
      ""Invalid JWT""
    );
    expect(data).toBeNull();
  });

```
"
"passed","Mon Apr 18 08:35:02 GMT 2022","Mon Apr 18 08:35:02 GMT 2022","67","test","spec","hello.spec.ts","","","invoke hello with setAuth wrong key","
### Test
```typescript
() =>
  __awaiter(void 0, void 0, void 0, function* () {
    (0, jest_custom_reporter_1.log)(""create FunctionsClient"");
    const fclient = new index_1.FunctionsClient(
      `http://localhost:${relay.container.getMappedPort(8081)}`
    );
    const wrongKey = (0, jsonwebtoken_1.sign)({ name: ""anon"" }, ""wrong_jwt"");
    (0,
    jest_custom_reporter_1.attach)(""setAuth with wrong jwt"", wrongKey, allure_js_commons_1.ContentType.TEXT);
    fclient.setAuth(wrongKey);
    (0, jest_custom_reporter_1.log)(""invoke hello"");
    const { data, error } = yield fclient.invoke(""hello"", {
      responseType: ""text"",
    });
    (0, jest_custom_reporter_1.log)(""check error"");

    expect(error).not.toBeNull();
    expect(error === null || error === void 0 ? void 0 : error.message).toEqual(
      ""Invalid JWT""
    );
    expect(data).toBeNull();
  });

```
"
"passed","Mon Apr 18 08:35:02 GMT 2022","Mon Apr 18 08:35:02 GMT 2022","15","test","spec","hello.spec.ts","","","invoke hello with custom fetch override header","
### Test
```typescript
() =>
  __awaiter(void 0, void 0, void 0, function* () {
    const wrongKey = (0, jsonwebtoken_1.sign)({ name: ""anon"" }, ""wrong_jwt"");
    (0, jest_custom_reporter_1.log)(""create FunctionsClient"");
    const fclient = new index_1.FunctionsClient(
      `http://localhost:${relay.container.getMappedPort(8081)}`,
      {
        headers: {
          Authorization: `Bearer ${wrongKey}`,
        },
        customFetch: (0, fetch_1.getCustomFetch)(
          `http://localhost:${relay.container.getMappedPort(8081)}/${""hello""}`,
          {
            method: ""Post"",
            headers: {
              Authorization: `Bearer ${apiKey}`,
            },
          }
        ),
      }
    );
    (0, jest_custom_reporter_1.log)(""invoke hello with Authorization header"");
    const { data, error } = yield fclient.invoke(""hello"", {
      responseType: ""text"",
    });
    (0, jest_custom_reporter_1.log)(""assert no error"");

    expect(error).toBeNull();
    (0, jest_custom_reporter_1.log)(`assert ${data} is equal to 'Hello World'`);
    expect(data).toEqual(""Hello World"");
  });

```
"
"skipped","Mon Apr 18 08:35:02 GMT 2022","Mon Apr 18 08:35:03 GMT 2022","249","test","spec","hello.spec.ts","","","invoke missing function","
### Test
```typescript
() =>
  __awaiter(void 0, void 0, void 0, function* () {
    (0, jest_custom_reporter_1.log)(""create FunctionsClient"");
    const fclient = new index_1.FunctionsClient(
      `http://localhost:${relay.container.getMappedPort(8081)}`,
      {
        headers: {
          Authorization: `Bearer ${apiKey}`,
        },
      }
    );
    (0, jest_custom_reporter_1.log)(""invoke hello"");
    const { data, error } = yield fclient.invoke(""missing"", {
      responseType: ""text"",
    });
    (0, jest_custom_reporter_1.log)(""check error"");

    expect(error).not.toBeNull();
    expect(error === null || error === void 0 ? void 0 : error.message).toEqual(
      ""Invalid JWT""
    );
    expect(data).toBeNull();
  });

```
"
