"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Apr 02 04:05:11 GMT 2023","Sun Apr 02 04:05:11 GMT 2023","0","realtime","","","","","subscribe from 2 clients",""
"passed","Sun Apr 02 04:06:02 GMT 2023","Sun Apr 02 04:06:03 GMT 2023","1042","rpc","","","","","call rpc method that has params","When you call rpc, params should be passed properly"
"skipped","Sun Apr 02 04:05:57 GMT 2023","Sun Apr 02 04:05:57 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 2",""
"passed","Sun Apr 02 04:05:46 GMT 2023","Sun Apr 02 04:05:47 GMT 2023","804","authentication","","","","","get user should return logged in user","When user is signed in then he should be able to get his info and metadata"
"passed","Sun Apr 02 04:04:59 GMT 2023","Sun Apr 02 04:04:59 GMT 2023","677","storage","","","","","upload to bucket","upload to bucket"
"passed","Sun Apr 02 04:05:59 GMT 2023","Sun Apr 02 04:06:00 GMT 2023","1710","auth_admin","","","","","delete user with anon key should fail","When you delete user with anon key you have to receive an error"
"passed","Sun Apr 02 04:05:58 GMT 2023","Sun Apr 02 04:05:59 GMT 2023","1138","auth_admin","","","","","delete user should work","When you delete user then this user has to be removed"
"skipped","Sun Apr 02 04:05:11 GMT 2023","Sun Apr 02 04:05:11 GMT 2023","0","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 1",""
"passed","Sun Apr 02 04:04:57 GMT 2023","Sun Apr 02 04:04:58 GMT 2023","867","storage","update bucket","","","","update bucket 1","update bucket should change bucket both public->private and back"
"skipped","Sun Apr 02 04:05:57 GMT 2023","Sun Apr 02 04:05:57 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 0",""
"skipped","Sun Apr 02 04:05:01 GMT 2023","Sun Apr 02 04:05:01 GMT 2023","0","storage","","","","","[skip-local] move file in bucket",""
"passed","Sun Apr 02 04:05:03 GMT 2023","Sun Apr 02 04:05:04 GMT 2023","885","storage","get signed link to file","","","","get signed link to file 0","get signed link to file in the bucket"
"passed","Sun Apr 02 04:05:48 GMT 2023","Sun Apr 02 04:05:49 GMT 2023","1100","authentication","","","","","[skip-stage] on auth state changed should return events","When user subscribes on auth changes then user has to receive auth updates"
"passed","Sun Apr 02 04:05:51 GMT 2023","Sun Apr 02 04:05:52 GMT 2023","633","auth_admin","","","","","admin create user with anon key should fail","When you try to create user with anon key then you should get error"
"skipped","Sun Apr 02 04:05:11 GMT 2023","Sun Apr 02 04:05:11 GMT 2023","0","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 3",""
"passed","Sun Apr 02 04:05:44 GMT 2023","Sun Apr 02 04:05:45 GMT 2023","938","authentication","","","","","create new users by phone auth","When user sign up with phone then he should be logged in"
