"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 11 12:36:04 GMT 2022","Tue Oct 11 12:36:04 GMT 2022","72","storage","","","","","list buckets as admin","list buckets should return all buckets"
"passed","Tue Oct 11 12:36:04 GMT 2022","Tue Oct 11 12:36:04 GMT 2022","52","storage","update bucket","","","","update bucket 1","update bucket should change bucket both public->private and back"
"skipped","Tue Oct 11 12:36:04 GMT 2022","Tue Oct 11 12:36:04 GMT 2022","0","storage","","","","","[skip-local] copy file in bucket",""
"passed","Tue Oct 11 12:36:13 GMT 2022","Tue Oct 11 12:36:13 GMT 2022","230","postgrest","","","","","delete row","User can delete his profile in profiles table"
"passed","Tue Oct 11 12:36:04 GMT 2022","Tue Oct 11 12:36:05 GMT 2022","77","storage","","","","","update file","update file check if it will change"
"passed","Tue Oct 11 12:36:04 GMT 2022","Tue Oct 11 12:36:04 GMT 2022","72","storage","get signed link to file","","","","get signed link to file 1","get signed link to file in the bucket"
"passed","Tue Oct 11 12:36:11 GMT 2022","Tue Oct 11 12:36:11 GMT 2022","283","rpc","","","","","call rpc","When you call rpc then you are able to receive its result"
"passed","Tue Oct 11 12:36:06 GMT 2022","Tue Oct 11 12:36:06 GMT 2022","279","authentication","","","","","new users","When user sign up then he should not be logged in until he confirms his email"
"passed","Tue Oct 11 12:36:09 GMT 2022","Tue Oct 11 12:36:10 GMT 2022","108","auth_admin","","","","","get user","When you get user by id he has to be returned"
"skipped","Tue Oct 11 12:36:04 GMT 2022","Tue Oct 11 12:36:04 GMT 2022","0","storage","","","","","[skip-local] move file in bucket",""
"passed","Tue Oct 11 12:36:03 GMT 2022","Tue Oct 11 12:36:03 GMT 2022","43","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"passed","Tue Oct 11 12:36:04 GMT 2022","Tue Oct 11 12:36:04 GMT 2022","61","storage","","","","","download file from bucket","download file"
"passed","Tue Oct 11 12:36:04 GMT 2022","Tue Oct 11 12:36:04 GMT 2022","58","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"passed","Tue Oct 11 12:36:12 GMT 2022","Tue Oct 11 12:36:12 GMT 2022","221","postgrest","","","","","insert row","User can insert profile for himself according to RLS to profiles table"
"passed","Tue Oct 11 12:36:08 GMT 2022","Tue Oct 11 12:36:08 GMT 2022","115","auth_admin","","","","","create user","When you create user then it has to be in auth db schema"
