"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 13 04:21:51 GMT 2024","Wed Mar 13 04:21:54 GMT 2024","3236","postgrest","","","","","insert row","User can insert profile for himself according to RLS to profiles table"
"skipped","Wed Mar 13 04:21:05 GMT 2024","Wed Mar 13 04:21:05 GMT 2024","0","auth_admin","get url for provider","","","","get url for provider 0",""
"skipped","Wed Mar 13 04:17:52 GMT 2024","Wed Mar 13 04:17:52 GMT 2024","1","triggers","","","","","triggers work only once after pause/resume",""
"passed","Wed Mar 13 04:06:37 GMT 2024","Wed Mar 13 04:06:41 GMT 2024","3334","forms","","","","","[skip-stage] exit surveys","get latest exit surveys submissions"
"passed","Wed Mar 13 04:21:38 GMT 2024","Wed Mar 13 04:21:43 GMT 2024","4236","authentication","","","","","set session should set new auth","When user changes session then he still should be correctly logined"
"passed","Wed Mar 13 04:18:52 GMT 2024","Wed Mar 13 04:18:59 GMT 2024","6661","storage","","","","","download file from bucket","download file"
"passed","Wed Mar 13 04:20:29 GMT 2024","Wed Mar 13 04:20:41 GMT 2024","12220","realtime","","","","","remove all subscriptions from client","When you remove all subscription then no events have to be returned"
"passed","Wed Mar 13 04:20:53 GMT 2024","Wed Mar 13 04:20:56 GMT 2024","3159","auth_admin","","","","","list users with service key","When you list users then you should get all users"
"skipped","Wed Mar 13 04:20:04 GMT 2024","Wed Mar 13 04:20:04 GMT 2024","1","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 0",""
"passed","Wed Mar 13 04:19:58 GMT 2024","Wed Mar 13 04:20:02 GMT 2024","4213","realtime","","","","","you should get no events until subscribe","When you call ""on"" table but not subscribe then no events have to be returned"
"skipped","Wed Mar 13 04:20:04 GMT 2024","Wed Mar 13 04:20:04 GMT 2024","0","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 3",""
"passed","Wed Mar 13 04:22:20 GMT 2024","Wed Mar 13 04:22:24 GMT 2024","4354","rpc","","","","","call rpc with head option","When you call rpc with head param, no data should be returned"
"skipped","Wed Mar 13 04:21:30 GMT 2024","Wed Mar 13 04:21:30 GMT 2024","0","authentication","","","","","create new users by phone auth",""
"skipped","Wed Mar 13 04:20:04 GMT 2024","Wed Mar 13 04:20:04 GMT 2024","0","realtime","subscribe on table","","","","subscribe on table 3",""
"passed","Wed Mar 13 04:18:16 GMT 2024","Wed Mar 13 04:18:22 GMT 2024","6398","storage","","","","","list buckets as admin","list buckets should return all buckets"
"passed","Wed Mar 13 04:06:57 GMT 2024","Wed Mar 13 04:06:58 GMT 2024","396","api","","","","","get api service","get api service and project info"
"passed","Wed Mar 13 04:06:55 GMT 2024","Wed Mar 13 04:06:56 GMT 2024","396","home","","","","","get projects","get projects list"
"passed","Wed Mar 13 04:20:43 GMT 2024","Wed Mar 13 04:20:45 GMT 2024","2188","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"passed","Wed Mar 13 04:18:10 GMT 2024","Wed Mar 13 04:18:16 GMT 2024","6217","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 1","There has to be default RLS policy to not allow users to create bucket"
"skipped","Wed Mar 13 04:21:05 GMT 2024","Wed Mar 13 04:21:05 GMT 2024","0","auth_admin","get url for provider","","","","get url for provider 2",""
