"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 14 07:41:05 GMT 2023","Thu Dec 14 07:41:07 GMT 2023","2441","data","","","","","storage data restored","Check if storage data is restored after pause/resume"
"passed","Thu Dec 14 07:40:58 GMT 2023","Thu Dec 14 07:41:06 GMT 2023","8383","triggers","","","","","trigger works only once","Check if there are any duplicated in table with triggered inserts"
"passed","Thu Dec 14 07:32:57 GMT 2023","Thu Dec 14 07:32:58 GMT 2023","638","home","","","","","get project settings","get project settings"
"passed","Thu Dec 14 07:41:37 GMT 2023","Thu Dec 14 07:41:41 GMT 2023","4121","storage","","","","","get bucket","get bucket should return bucket info"
"skipped","Thu Dec 14 07:33:09 GMT 2023","Thu Dec 14 07:33:09 GMT 2023","3","storage","","","","","create storage bucket",""
"passed","Thu Dec 14 07:42:21 GMT 2023","Thu Dec 14 07:42:29 GMT 2023","8456","storage","","","","","[skip-local] copy file in bucket","copy file"
"skipped","Thu Dec 14 07:44:49 GMT 2023","Thu Dec 14 07:44:49 GMT 2023","3","functions","","","","","set auth",""
"passed","Thu Dec 14 07:41:15 GMT 2023","Thu Dec 14 07:41:18 GMT 2023","2651","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"passed","Thu Dec 14 07:32:55 GMT 2023","Thu Dec 14 07:32:57 GMT 2023","1140","home","","","","","get projects","get projects list"
"skipped","Thu Dec 14 07:43:33 GMT 2023","Thu Dec 14 07:43:33 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 2",""
"passed","Thu Dec 14 07:41:07 GMT 2023","Thu Dec 14 07:41:08 GMT 2023","1109","data","","","","","procedures data restored","Check if procedure is restored after pause/resume"
"passed","Thu Dec 14 07:41:51 GMT 2023","Thu Dec 14 07:41:56 GMT 2023","5380","storage","","","","","delete bucket","get bucket should return bucket info"
