"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","auth_admin","","0","0","11","0","0"
"","storage","","1","0","19","0","0"
"","authentication","","5","0","2","0","0"
"","rpc","","2","0","1","0","0"
"","home","","0","0","5","0","0"
"","postgrest","","3","0","1","0","0"
"","tables","","0","0","3","0","0"
"","settings","","1","0","1","0","0"
"","sql","","0","0","1","0","0"
"","api","","0","0","1","0","0"
"","users","","0","0","1","0","0"
"","database","","0","0","4","0","0"
"","","","0","0","0","5","0"
